route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166411,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166412,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166413,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166414,"Smithfield Shopping Centre",1,,1200010
120N-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166462,"Smithfield Shopping Centre",1,,120N0005
120N-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166463,"Smithfield Shopping Centre",1,,120N0005
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166544,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166545,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166546,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166547,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166548,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166549,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166550,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166551,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166552,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166553,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166554,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166555,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166556,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166557,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166558,"The Pier Cairns Terminus",0,,1210012
121-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166559,"The Pier Cairns Terminus",0,,1210012
